Name,Icon Image,Photo Image,House Image,Species,Gender,Personality,Subtype,Hobby,Birthday,Catchphrase,Favorite Song,Favorite Saying,Style 1,Style 2,Color 1,Color 2,Default Clothing,Default Umbrella,Wallpaper,Flooring,Furniture List,Furniture Name List,Version Added,Name Color,Bubble Color,Filename,Unique Entry ID
Angus,,,,Bull,Male,Cranky,B,Fitness,4/30,macmoo,K.K. Calypso,Even strong bulls cry.,Cool,Cool,Red,Black,9536,bat umbrella,wild-wood wall,red-and-black vinyl flooring,937;3957;4132;3956;863;3194;3818;793;2554;3958;864,dartboard;antique bed;yucca;antique bureau;billiard table;ironwood low table;pennant;high-end stereo;double sofa;antique mini table;bingo wheel,1.0.0,#fff2bb,#ff791f,bul00,jHQfWetzGf6Zhgt4u
Anicotti,,,,Mouse,Female,Peppy,B,Fashion,2/24,cannoli,Neapolitan,The walls have ears.,Simple,Elegant,Red,Pink,7641,apple umbrella,beaded-curtain wall,kitschy tile,4132;2560;2605;9766;928;3400;3251;3438;3439;7137;7236;1913;1845;1836;7335,yucca;wooden chest;wooden simple bed;mini fridge;pot rack;dish-drying rack;gas range;wooden end table;wooden table;wooden full-length mirror;lily record player;wooden chair;simple kettle;humidifier;white simple medium mat,1.0.0,#28665a,#78dd62,mus10,oGr6N9vC3TD9raXbf
Ankha,,,,Cat,Female,Snooty,B,Nature,9/22,me meow,K.K. Bazaar,All that glitters is not gold.,Gorgeous,Simple,Colorful,Brown,3441,ghost umbrella,ancient wall,pyramid tile,3472;8608;5165;8825;3774;8825;8825;3065;3810,golden toilet;pyramid;wall-mounted candle;golden casket;Libra scale;golden casket;golden casket;gold bars;golden dishes,1.0.0,#9b8986,#fff80d,cat19,AWdRRws22EGTxC7vc
Annalisa,,,,Anteater,Female,Normal,A,Nature,2/6,gumdrop,King K.K.,Home is where the heart is.,Elegant,Gorgeous,Red,Pink,3572,cherry-blossom umbrella,gold-screen wall,tatami,3230;725;5976;716;3551;7048;3622;3974;109;7865,futon;paper lantern;bamboo sphere;screen;bamboo shelf;pile of zen cushions;floor seat;imperial low table;moss ball;elaborate kimono stand,1.0.0,#848484,#ffffff,ant08,XTwyzscZPAA8LRdYN
Annalise,,,,Horse,Female,Snooty,B,Fashion,12/2,nipper,Aloha K.K.,Let gossip go in one ear and out the other.,Elegant,Active,Blue,Purple,8190,fairy-tale umbrella,tropical vista,yellow floral flooring,7259;3983;7868;5150;7148;4130;1288;998;3684;7134;975,palm-tree lamp;shell bed;surfboard;shell speaker;life ring;coconut wall planter;fan palm;kitchen island;coconut juice;wooden low table;fruit basket,1.0.0,#eac113,#7c6559,hrs09,88YKJKvjin32GeG4H
Antonio,,,,Anteater,Male,Jock,B,Fitness,10/20,honk,K.K. Ragtime,Always go for the burn!,Simple,Simple,Aqua,Blue,8200,blue umbrella,starry wall,wooden-knot flooring,3438;1759;4125;2605;1913;3122;3439;2560;4308;4757,wooden end table;stack of books;wooden bookshelf;wooden simple bed;wooden chair;mini DIY workbench;wooden table;wooden chest;unfinished puzzle;throwback skull radio,1.0.0,#879b96,#fff98f,ant01,RQNii4nDE2AWswpgE
Apollo,,,,Eagle,Male,Cranky,B,Music,7/4,pah,K.K. Rock,What goes up must come down.,Cool,Simple,Black,Black,8564,bat umbrella,shutter wall,slate flooring,4052;4141;4441;863;3428;793;1288;4139;4014;3586,rattan bed;diner sofa;diner mini table;billiard table;wall-mounted TV (50 in.);high-end stereo;fan palm;diner counter table;folding floor lamp;magazine,1.0.0,#848484,#ffffff,pbr00,25sZq7NjGGADiEXtR
Apple,,,,Hamster,Female,Peppy,A,Play,9/24,cheekers,I Love You,One rotten apple spoils the barrel.,Cute,Simple,Colorful,Red,8296,Toad parasol,apple wall,simple white flooring,1792;3251;3490;7134;3122;928;2560;1783;7327;4003;2605;4134;3996;2596;9766;3400,cushion;gas range;wooden waste bin;wooden low table;mini DIY workbench;pot rack;wooden chest;corkboard;apple rug;cute music player;wooden simple bed;apple chair;cute wall-mounted clock;juicy-apple TV;mini fridge;dish-drying rack,1.0.0,#fffce9,#ff6183,ham01,bEHwPJ3GBDZaNE4Bd
Astrid,,,,Kangaroo,Female,Snooty,B,Music,9/8,my pet,K.K. Gumbo,The apple doesn't fall far from the tree.,Cool,Active,Black,Colorful,4559,spider umbrella,backyard-fence wall,backyard lawn,1170;4379;2329;2329;2329;1708;3962;2319;3430;1199,swinging bench;springy ride-on;tire toy;tire toy;tire toy;cassette player;inflatable sofa;drinking fountain;playground gym;tricycle,1.0.0,#848484,#ffffff,kgr05,qrki2afmbkBQ6DbmZ
Audie,,,,Wolf,Female,Peppy,A,Fitness,8/31,foxtrot,K.K. Island,Be the kind of person your future self won't regret having been.,Cute,Active,Green,White,2687,fairy-tale umbrella,tropical vista,green floral flooring,4046;787;3615;4143;1866;4109;3672;975;3431;4054;3684;8395;7259,rattan end table;tape deck;open-frame kitchen;diner neon sign;menu chalkboard;double-door refrigerator;cardboard box;fruit basket;wall fan;rattan low table;coconut juice;yellow kitchen mat;palm-tree lamp,1.0.0,#fff2bb,#ff791f,wol12,2tufzN7iwjncqLu7Y
Aurora,,,,Penguin,Female,Normal,B,Education,1/27,b-b-baby,Stale Cupcakes,Always keep your cool.,Cute,Elegant,Pink,Red,4289,snowflake umbrella,ice wall,ice flooring,5956;5956;3498;4131;4131;3502;5959;3500;3500;4338;3340;5165;5165,Aquarius urn;Aquarius urn;frozen partition;illuminated snowflakes;illuminated snowflakes;frozen bed;Cancer table;frozen pillar;frozen pillar;portable record player;deer decoration;wall-mounted candle;wall-mounted candle,1.0.0,#848484,#ffffff,pgn00,CXt3MBoeCZXXSRS7B
Ava,,,,Chicken,Female,Normal,B,Music,4/28,beaker,K.K. Love Song,"Early to bed, early to rise.",Elegant,Cute,Red,Gray,4731,Toad parasol,white-rose wall,simple white flooring,3490;4003;7132;2560;3616;3428;7137;2740;7789;7134;7365;1838,wooden waste bin;cute music player;wooden double bed;wooden chest;system kitchen;wall-mounted TV (50 in.);wooden full-length mirror;automatic washer;drying rack;wooden low table;pink rose rug;ironing set,1.0.0,#fffce9,#e8b010,chn05,93emjZzaaLb7BdkSn
Avery,,,,Eagle,Male,Cranky,B,Music,2/22,skree-haw,K.K. Condor,What goes around comes around.,Simple,Gorgeous,Orange,Brown,4154,camo umbrella,western vista,rocky-mountain flooring,343;343;1430;3398;7393;10743;7345;3397;4025;4073,tiki torch;tiki torch;bonfire;stone stool;pond stone;bamboo speaker;shanty mat;stone table;unglazed dish set;classic pitcher,1.0.0,#fffce9,#c0ab72,pbr05,SKF5NqPPqzjL7dEng
Axel,,,,Elephant,Male,Jock,B,Fitness,3/23,WHONK,K.K. Dixie,Do not compare a fly with an elephant.,Active,Simple,Green,White,3575,two-tone umbrella,blue playroom wall,blue rubber flooring,3205;1181;4756;4759;7392;1558;5543;4761;2731;1559;4762;3623,wooden-block stereo;tennis table;throwback wall clock;throwback race-car bed;candy machine;wooden-block bookshelf;wooden-blockstool;throwback rocket;digital alarm clock;wooden-block bench;throwback container;toy box,1.0.0,#fffce9,#459aba,elp06,K3aj3w7fLcMETyuzf
Baabara,,,,Sheep,Female,Snooty,B,Fashion,3/28,daahling,K.K. Cruisin',Don't just follow the flock.,Gorgeous,Elegant,Purple,Blue,4616,raindrop umbrella,stormy-night wall,brown iron-parquet flooring,3468;4015;7348;7348;3958;3428;4027;794;3950;1840;3955;3951;10244;4102,beach towel;shower booth;red carpet;red carpet;antique mini table;wall-mounted TV (50 in.);floral swag;phonograph;antique chair;whirlpool bath;antique vanity;antique console table;fragrance sticks;poolside bed,1.0.0,#fffad4,#8bcdea,shp01,LAWZdKWcejrkbikco
Bam,,,,Deer,Male,Jock,A,Play,11/7,kablang,K.K. Blues,Get while the getting's good.,Active,Simple,Green,Brown,7198,green umbrella,concrete wall,blue rubber flooring,833;7529;7529;4003;4026;7150;1181;3946;1759;4116;3431,upright locker;folding chair;folding chair;cute music player;utility sink;blue corner;tennis table;outdoor table;stack of books;whiteboard;wall fan,1.0.0,#fffce9,#0961f6,der01,2yvPukPn4ZSamngmb
Bangle,,,,Tiger,Female,Peppy,B,Fashion,8/27,growf,K.K. Soul,Don't blink or you'll miss it.,Gorgeous,Cute,Yellow,Green,2687,rainbow umbrella,yellow intricate wall,blue floral flooring,7137;7134;4003;4109;929;2554;7132;3438;4118;2560;1753;3270;3400;1501,wooden full-length mirror;wooden low table;cute music player;double-door refrigerator;air conditioner;double sofa;wooden double bed;wooden end table;magnetic knife rack;wooden chest;aroma pot;ironwood kitchenette;dish-drying rack;Baby bear,1.0.0,#fffce9,#7a2500,tig03,DvL5iP2kNCNfwc6Mv
Barold,,,,Cub,Male,Lazy,A,Play,3/2,cubby,K.K. Song,Please DO feed the bears!,Simple,Cool,Yellow,Black,8198,vinyl umbrella,security-monitors wall,monochromatic tile flooring,4015;8298;833;1434;875;840;1850;3697;832;1126;1232;3987;3987;3672;1165;1759;7356,shower booth;bunk bed;upright locker;sleeping bag;breaker;office desk;laptop;portable radio;modern office chair;server;water cooler;wall-mounted phone;wall-mounted phone;cardboard box;surveillance camera;stack of books;aluminum rug,1.0.0,#5e5e5e,#bfbfbf,cbr16,6qZJQFWqeCHzPNyEZ
Bea,,,,Dog,Female,Normal,A,Nature,10/15,bingo,Drivin',The perfect pair complements each other.,Simple,Cool,Aqua,Green,7784,mint umbrella,blackboard wall,cork flooring,4053;2014;4129;1866;928;2014;1850;4003;4139;3619;3619;4139;3619;3619;3615;7337;4139;954;4107;1845,rattan armchair;lecture-hall desk;monstera;menu chalkboard;pot rack;lecture-hall desk;laptop;cute music player;diner counter table;soup kettle;soup kettle;diner counter table;soup kettle;soup kettle;open-frame kitchen;iron entrance mat;diner counter table;espresso maker;infused-water dispenser;simple kettle,1.0.0,#fffce9,#a87850,dog10,DkqHjENW8fRBE9uxG
Beardo,,,,Bear,Male,Smug,A,Education,9/27,whiskers,K.K. Milonga,Fashion first!,Elegant,Elegant,Brown,Blue,3706,tartan-check umbrella,blue-crown wall,simple purple flooring,3954;3561;2554;3784;3958;3951;3783;794;4009;1750,antique clock;iron hanger stand;double sofa;den chair;antique mini table;antique console table;den desk;phonograph;cordless phone;document stack,1.0.0,#fffce9,#3fd8e0,bea13,3XoqTm3LW4C4BvLBt
Beau,,,,Deer,Male,Lazy,A,Nature,4/5,saltlick,Mountain Song,"You snooze, you lose.",Simple,Cute,Beige,Orange,4566,melon umbrella,meadow vista,daisy meadow,1157;5970;7393;1434;1143;4042;6033;7404;1708;1082,brick oven;firewood;pond stone;sleeping bag;smoker;log bench;outdoor picnic set;blue vinyl sheet;cassette player;picnic basket,1.0.0,#fff2bb,#ff791f,der07,zbkkW8wWbmyGAZauv
Becky,,,,Chicken,Female,Snooty,B,Music,12/9,chicklet,K.K. Chorale,A fool and his Bells are soon parted.,Gorgeous,Elegant,Purple,Pink,8173,green chic umbrella,palace wall,palace tile,3954;1449;3958;794;2772;1058;1875;3681;987,antique clock;cello;antique mini table;phonograph;fancy violin;music stand;grand piano;piano bench;harp,1.0.0,#fffce9,#a06fce,chn09,D7Atj8BuHK6mgwwvZ
Bella,,,,Mouse,Female,Peppy,B,Music,12/28,eeks,K.K. Metal,A glamour shot is worth a thousand words.,Cool,Active,Black,Purple,4559,spider umbrella,concrete wall,skull-print flooring,3563;3559;4030;4017;4441;4139;4138;4137;4757;1870;1757;3621;3943;4071;8417,iron shelf;iron wall lamp;bathroom towel rack;shower set;diner mini table;diner counter table;diner counter chair;diner chair;throwback skull radio;mug;claw-foot tub;loft bed with desk;ironwood DIY workbench;electronics kit;wall-mounted tool board,1.0.0,#848484,#ffffff,mus02,hu4qewj6YKKmzMpYL
Benedict,,,,Chicken,Male,Lazy,B,Play,10/10,uh-hoo,I Love You,Don't put all your eggs in one basket.,Simple,Simple,Blue,Purple,2541,snowflake umbrella,backyard-fence wall,backyard lawn,3962;1199;4003;3348;4113;1631;3468;330;7148;1799,inflatable sofa;tricycle;cute music player;plastic pool;hose reel;garden faucet;beach towel;barbecue;life ring;doghouse,1.0.0,#fffad4,#ff4040,chn01,BjcoELiTM3m8StExF
Benjamin,,,,Dog,Male,Lazy,A,Nature,8/3,alrighty,Mr. K.K.,A good dog deserves a good treat.,Simple,Simple,Red,White,4145,kabuki umbrella,common wall,common flooring,833;4125;1308;1330;3672;1308;2012;4003;1558;1328;870;3968;3967;1328;3584;3965,upright locker;wooden bookshelf;school chair;basic teacher's desk;cardboard box;school chair;chalkboard;cute music player;wooden-block bookshelf;school desk;book stands;homework set;broom and dustpan;school desk;writing poster;painting set,1.0.0,#9b553a,#ffd00d,dog16,wgb64Mp6XbFS2CPwj
Bertha,,,,Hippo,Female,Normal,B,Education,4/25,bloop,Two Days Ago,The best part of spring is the picnics!,Cute,Elegant,Pink,White,4506,picnic umbrella,white-rose wall,rose flooring,2554;3943;2605;2713;3270;3275;3193;3775;929;1783;4111;1227;4048;3194;4308,double sofa;ironwood DIY workbench;wooden simple bed;refrigerator;ironwood kitchenette;ironwood clock;ironwood chair;hanging terrarium;air conditioner;corkboard;old-fashioned alarm clock;deluxe washer;rattan towel basket;ironwood low table;unfinished puzzle,1.0.0,#fffce9,#00d1bd,hip03,oMQnY9fuzdtPweuLi
Bettina,,,,Mouse,Female,Normal,B,Education,6/12,eekers,Animal City,No time like the present!,Simple,Elegant,White,Red,3177,sunny parasol,blackboard wall,birch flooring,4138;4138;4109;4026;3561;3445;4135;928;3951;794;998;918;7337;3271;954;920,diner counter chair;diner counter chair;double-door refrigerator;utility sink;iron hanger stand;standard umbrella stand;freezer;pot rack;antique console table;phonograph;kitchen island;coffee cup;iron entrance mat;ironwood cupboard;espresso maker;coffee grinder,1.0.0,#fff2bb,#ff791f,mus15,r9JpujcMdgTRABad9
Bianca,,,,Tiger,Female,Peppy,A,Play,12/13,glimmer,K.K. House,There is such a thing as love at first sight.,Cute,Cute,Pink,Orange,8506,mini-flower-print umbrella,white-brick wall,leopard-print flooring,2713;4052;7134;3436;7137;4141;4046;4000;3270;1836;1050;3618;3562,refrigerator;rattan bed;wooden low table;wooden wardrobe;wooden full-length mirror;diner sofa;rattan end table;cute tea table;ironwood kitchenette;humidifier;mixer;cutting board;iron wall rack,1.0.0,#848484,#ffffff,tig06,KGECko2WSNbQp4oRY
Biff,,,,Hippo,Male,Jock,B,Fitness,3/29,squirt,The K. Funk,Eighth place is just the seventh loser.,Gorgeous,Active,Black,Blue,4327,bat umbrella,street-art wall,paintball flooring,4226;2010;9619;7654;3965;1185;2614;787,basketball hoop;ball;utility pole;electric kick scooter;painting set;phone box;mountain bike;tape deck,1.0.0,#fffce9,#7a2500,hip04,sT2KXbN2N3dqB6aaN
Big Top,,,,Elephant,Male,Lazy,B,Play,10/3,villain,Go K.K. Rider,A big nose never spoiled a handsome face.,Simple,Active,Green,Green,12037,green umbrella,construction-site wall,steel flooring,1452;2556;7152;4013;4116;290;3672;787;6475,weight bench;garbage pail;neutral corner;punching bag;whiteboard;treadmill;cardboard box;tape deck;Big Top's photo,1.0.0,#28665a,#78dd62,elp02,o2NPbZGfMvTD7Se5i
Bill,,,,Duck,Male,Jock,A,Play,2/1,quacko,Imperial K.K.,"Even though there's no 'I' in team, there is a 'me'!",Active,Active,Blue,Purple,2727,fairy-tale umbrella,bamboo-screen wall,bamboo flooring,717;3971;928;3972;7348;794;6031;7409;3970;710;3344;3344;7796;7797;7797;8415,clay furnace;imperial partition;pot rack;imperial chest;red carpet;phonograph;cherry-blossom branches;cherry-blossom pond stone;imperial decorative shelves;bamboo bench;steamer-basket set;steamer-basket set;imperial dining table;imperial dining chair;imperial dining chair;imperial dining lantern,1.0.0,#fffce9,#7a2500,duk00,hcnPuswvHJykZw7BX
Billy,,,,Goat,Male,Jock,A,Play,3/25,dagnaabit,K.K. Song,Old dogs can learn new tricks.,Simple,Active,Blue,Purple,3164,paper parasol,manga-library wall,garbage-heap flooring,7159;7163;7163;4034;1759;7161;3672;3672;1861;3672;7160;1750;4114,cardboard sofa;cardboard chair;cardboard chair;scattered papers;stack of books;cardboard bed;cardboard box;cardboard box;stacked magazines;cardboard box;cardboard table;document stack;tissue box,1.0.0,#fffce9,#d86808,goa02,dqEHTSBSx5iLhGiSC
Biskit,,,,Dog,Male,Lazy,B,Play,5/13,dawg,K.K. Mambo,Let sleeping dogs lie.,Gorgeous,Simple,Purple,Colorful,4717,pineapple umbrella,backyard-fence wall,backyard lawn,1199;2592;1082;1631;4113;3430;4038;1620;4003;338;7403,tricycle;tin bucket;picnic basket;garden faucet;hose reel;playground gym;log stool;hammock;cute music player;lawn mower;yellow vinyl sheet,1.0.0,#874c25,#ffaa3b,dog03,nfeef6XSSstGwrbWo
Bitty,,,,Hippo,Female,Snooty,A,Education,10/6,my dear,K.K. Disco,Necessity is the mother of all invention.,Cute,Elegant,Pink,Orange,4403,purple shiny-bows parasol,gray molded-panel wall,lobby flooring,2554;1127;1816;7531;3560;1128;4338;3195;3948,double sofa;old sewing machine;changing room;ironing board;iron worktable;sewing machine;portable record player;ironwood cart;accessories stand,1.0.0,#fffce9,#f993ce,hip05,JGyY83aN4ocBGZs8s
Blaire,,,,Squirrel,Female,Snooty,B,Fashion,7/3,nutlet,K.K. Bossa,Practice makes perfect.,Gorgeous,Elegant,Orange,Brown,2704,hydrangea umbrella,arched-window wall,gold iron-parquet flooring,3943;3971;4027;7235;7538;7236;7232;4027;4027;7337;4054;3949;10244;4046;7234;7527,ironwood DIY workbench;imperial partition;floral swag;rose bed;simple medium purple mat;lily record player;mum cushion;floral swag;floral swag;iron entrance mat;rattan low table;anthurium plant;fragrance sticks;rattan end table;hyacinth lamp;flower stand,1.0.0,#fffce9,#515151,squ01,SjArzqyvbHAbgRz8D
Blanche,,,,Ostrich,Female,Snooty,A,Nature,12/21,quite so,K.K. Jongara,Nothing beats personal experience.,Elegant,Gorgeous,Black,Brown,6025,black lace umbrella,standard tearoom wall,tatami flooring,3230;1029;725;7047;7865;3551;3974;4033;3970,futon;low screen;paper lantern;zen cushion;elaborate kimono stand;bamboo shelf;imperial low table;traditional tea set;imperial decorative shelves,1.0.0,#848484,#ffffff,ost08,2B4NDzz69JKjjqF9o
Bluebear,,,,Cub,Female,Peppy,B,Fashion,6/24,peach,Only Me,Candy makes the world go 'round.,Cute,Simple,White,Blue,7672,strawberry umbrella,blue simple-cloth wall,blue dot flooring,3995;3998;3997;3999;3624;4000;3996;4003;4002;4001,cute DIY table;cute sofa;cute wardrobe;cute chair;cute bed;cute tea table;cute wall-mounted clock;cute music player;cute floor lamp;cute vanity,1.0.0,#fffce9,#3fd8e0,cbr00,ytYM52sRa4vhWW9cF
Bob,,,,Cat,Male,Lazy,B,Play,1/1,pthhpth,Neapolitan,You only live once...or nine times.,Simple,Cute,Colorful,Red,8205,eggy parasol,blue playroom wall,colorful puzzle flooring,3205;1557;2558;1565;1558;1559;1561;3206;3623;3208,wooden-block stereo;wooden-block bed;wooden-block chair;wooden-block table;wooden-block bookshelf;wooden-block bench;wooden-block chest;wooden-block toy;toy box;wooden-block wall clock,1.0.0,#fffce9,#a06fce,cat00,KijzbrvT4obqCnBTw
Bonbon,,,,Rabbit,Female,Peppy,A,Play,3/3,deelish,Bubblegum K.K.,Hindsight is always 20/20.,Cute,Elegant,Aqua,Yellow,8360,strawberry umbrella,cute yellow wall,white-paint flooring,3995;3997;3999;4001;4002;4000;7578;4003;3998;3624;3996,cute DIY table;cute wardrobe;cute chair;cute vanity;cute floor lamp;cute tea table;white heart rug;cute music player;cute sofa;cute bed;cute wall-mounted clock,1.0.0,#eac113,#7c6559,rbt17,yEQijXt6x8kQxdTrD
Bones,,,,Dog,Male,Lazy,B,Play,8/4,yip yip,K.K. Étude,A snack a day keeps the vacuum away.,Simple,Cute,Beige,Brown,7851,kiwi umbrella,classic-library wall,light wood-pattern flooring,4125;1308;1308;3672;787;4125;4125;4125;832;2014;3968;7339;2014;1759;3672;1759,wooden bookshelf;school chair;school chair;cardboard box;tape deck;wooden bookshelf;wooden bookshelf;wooden bookshelf;modern office chair;lecture-hall desk;homework set;rubber mud mat;lecture-hall desk;stack of books;cardboard box;stack of books,1.0.0,#848484,#ffffff,dog04,Y3F5fcfjvypECTqSm
Boomer,,,,Penguin,Male,Lazy,B,Fitness,2/7,human,Farewell,Flying is believing.,Simple,Cool,Brown,Beige,4207,bat umbrella,iceberg wall,iceberg flooring,3500;3500;3500;3500;343;343;7281;5337;7142,frozen pillar;frozen pillar;frozen pillar;frozen pillar;tiki torch;tiki torch;sleigh;three-tiered snowperson;simple DIY workbench,1.0.0,#fffad4,#798040,pgn10,jqR8knKhx3kGYTSSd
Boone,,,,Gorilla,Male,Jock,B,Fitness,9/12,baboom,Mountain Song,Never settle for second best.,Elegant,Cool,Colorful,Red,3258,camo umbrella,cabin wall,wooden-knot flooring,4117;704;4043;4119;4044;4041;3943;4036;8417;7370;4037,wood-burning stove;tapestry;log round table;macrame tapestry;log extra-long sofa;log bed;ironwood DIY workbench;log decorative shelves;wall-mounted tool board;oval entrance mat;log wall-mounted clock,1.0.0,#874c25,#ffaa3b,gor02,ZgTh9dkb3k36EPZ4o
Boots,,,,Alligator,Male,Jock,A,Play,8/7,munchie,Wandering,Strength lies in muscles.,Gorgeous,Active,Colorful,Purple,3450,beach umbrella,rice-paddy wall,dirt flooring,3675;7142;7393;2754;1120;4038;4309;710;7229;3697;5978,hay bed;simple DIY workbench;pond stone;simple well;scarecrow;log stool;destinations signpost;bamboo bench;handcart;portable radio;bamboo lunch box,1.0.0,#fffce9,#0ca54a,crd02,xEt4yY9KCa4KoERfM
Boris,,,,Pig,Male,Cranky,A,Nature,11/6,schnort,K.K. Oasis,Life's short. Eat chocolate.,Cool,Gorgeous,Purple,Black,3606,bat umbrella,ancient wall,rocky-mountain flooring,5956;7348;7348;5959;794;8825;3473;8702;8702;5959;5959;3772;3772;5963;5958,Aquarius urn;red carpet;red carpet;Cancer table;phonograph;golden casket;golden seat;sphinx;sphinx;Cancer table;Cancer table;golden candlestick;golden candlestick;Pisces lamp;Sagittarius arrow,1.0.0,#fffad4,#194c89,pig09,KRpDTZHnRjL2jn4H6
