UID,Villager,Animal,Personality,Image,House Type,House Color,Trim Color,Roof Color,Roof Material,Door Color,Door Style
89,Pango,Anteater,Peppy,,Cottage,White,N/A,Blue,Stone,Blue,Basic
90,Piper,Bird,Peppy,,Cottage,White,N/A,Blue,Tile,Black,Iron grill
91,Rosie,Cat,Peppy,,Cottage,White,N/A,Beige,Stone,Pink,Iron grill
92,Sally,Squirrel,Normal,,Cottage,Sand,N/A,Brown,Stone,Brown,Vertical-panes
93,Sherb,Goat,Lazy,,Cottage,Teal,N/A,White,Tile,Blue,Rustic
94,Simon,Monkey,Lazy,,Cottage,Sand,N/A,Yellow,Thatch ,Red,Rustic
95,Sparro,Bird,Jock,,Cottage,Brown,N/A,Yellow,Thatch ,Black,Rustic
96,Sylvana,Squirrel,Normal,,Cottage,White,N/A,Grey,Thatch ,Green,Wooden
97,Tipper,Cow,Snooty,,Cottage,White,N/A,Beige,Stone,Teal,Rustic
98,Weber,Duck,Lazy,,Cottage,Brown,N/A,Grey,Stone,Brown,Vertical-panes
99,Admiral,Bird,Cranky,,Country Side,Green,N/A,Brown,Stone,Brown,Latticework
100,Benjamin,Dog,Lazy,,Country Side,White,N/A,Brown,Thatch ,Yellow,Basic
101,Billy,Goat,Jock,,Country Side,Tan,N/A,Brown,Thatch ,Brown,Latticework
102,Blanche,Ostrich,Snooty,,Country Side,White,N/A,Orange,Thatch ,Blue,Latticework
103,Boots,Crocodile,Jock,,Country Side,Brown,N/A,Grey,Stone,Brown,Latticework
104,Curt,Bear,Cranky,,Country Side,Grey,N/A,Grey,Stone,Brown,Latticework
105,Del,Crocodile,Cranky,,Country Side,Blue,N/A,Blue,Tile,Purple,Basic
106,Dobie,Wolf,Cranky,,Country Side,Green,N/A,Green,Thatch ,Blue,Latticework
107,Hamphrey,Hamster,Cranky,,Country Side,Black,N/A,Blue,Tile,Blue,Latticework
108,Hornsby,Rhino,Lazy,,Country Side,Blue,N/A,White,Stone,White,Latticework
109,Kabuki,Cat,Cranky,,Country Side,Tan,N/A,Yellow,Thatch ,Brown,Latticework
110,Rizzo,Mouse,Cranky,,Country Side,Green,N/A,Black,Stone,Teal,Rustic
111,Snooty,Anteater,Snooty,,Country Side,Pink,N/A,Purple,Tile,White,Latticework
112,Zucker,Octopus,Lazy,,Country Side,Tan,N/A,Brown,Thatch ,Red,Rustic
113,Winnie,Horse,Peppy,,Jungle,Green,Brown,Beige,Stone,Beige,Rustic
114,Alice,Koala,Normal,,Jungle,Beige,White,Orange,Thatch ,White,Rustic
115,Alli,Crocodile,Snooty,,Jungle,Beige,White,Blue,Stone,White,Rustic
116,Annalise,Horse,Snooty,,Jungle,Tan,Brown,Orange,Thatch ,White,Latticework
117,Bonbon,Rabbit,Peppy,,Jungle,Beige,Black,Brown,Stone,Beige,Rustic
118,Boone,Gorilla,Jock,,Jungle,Beige,Red,Brown,Stone,Blue,Rustic
119,Buck,Horse,Jock,,Jungle,Beige,White,Brown,Tile,Brown,Vertical-panes
120,Curlos,Sheep,Smug,,Jungle,Yellow,Brown,Green,Tile,Yellow,Iron
121,Deirdre,Deer,Uchi,,Jungle,Beige,Black,Orange,Thatch ,Brown,Rustic
122,Drake,Duck,Lazy,,Jungle,Green,Brown,Blue,Tile,Beige,Rustic
123,Egbert,Chicken,Lazy,,Jungle,Tan,Brown,Yellow,Thatch ,Yellow,Basic
124,Flip,Monkey,Jock,,Jungle,Yellow,Brown,Brown,Thatch ,Beige,Windowed
125,Gaston,Rabbit,Cranky,,Jungle,Yellow,Brown,Grey,Thatch ,Black,Latticework
126,Hans,Gorilla,Smug,,Jungle,Beige,White,White,Thatch ,Blue,Rustic
127,Jitters,Bird,Jock,,Jungle,Yellow,Brown,Brown,Thatch ,Green,Vertical-panes
128,June,Cub,Normal,,Jungle,Beige,White,Orange,Thatch ,White,Latticework
129,Lopez,Deer,Smug,,Jungle,Beige,White,Beige,Stone,Teal,Rustic
130,Nate,Bear,Lazy,,Jungle,Green,Brown,Grey,Tile,White,Rustic
131,O'Hare,Rabbit,Smug,,Jungle,Tan,Brown,Brown,Stone,Brown,Wooden
132,Papi,Horse,Lazy,,Jungle,Beige,Red,Brown,Thatch ,Beige,Windowed
133,Pierce,Eagle,Jock,,Jungle,Beige,White,Blue,Stone,Teal,Rustic
134,Plucky,Chicken,Uchi,,Jungle,Green,Brown,Black,Thatch ,Beige,Rustic
135,Prince,Frog,Lazy,,Jungle,Yellow,Brown,Green,Tile,Beige,Rustic
136,Rex,Lion,Lazy,,Jungle,Yellow,Brown,Black,Thatch ,Brown,Latticework
137,Rolf,Tiger,Cranky,,Jungle,Beige,White,White,Thatch ,Grey,Latticework
138,Shari,Monkey,Uchi,,Jungle,Beige,White,Orange,Thatch ,Beige,Windowed
139,Shep,Dog,Smug,,Jungle,Beige,Black,White,Thatch ,Beige,Rustic
140,Timbra,Sheep,Snooty,,Jungle,Tan,Brown,Brown,Thatch ,Green,Iron grill
141,Tucker,Elephant,Lazy,,Jungle,Tan,Brown,Yellow,Thatch ,Beige,Rustic
142,Alfonso,Crocodile,Lazy,,Rural,Tan,Brown,Green,Shingles,Green,Common
143,Astrid,Kangaroo,Snooty,,Rural,Red,Brown,Blue,Shingles,White,Vertical-panes
144,Bettina,Mouse,Normal,,Rural,Tan,Brown,Red,Tile,Yellow,Vertical-panes
145,Bluebear,Cub,Peppy,,Rural,Teal,White,Blue,Tile,White,Wooden
146,Bones,Dog,Lazy,,Rural,White,Brown,Brown,Tile,Grey,Simple
147,Boomer,Penguin,Lazy,,Rural,Green,Brown,Brown,Tile,Yellow,Common
148,Boyd,Gorilla,Cranky,,Rural,Red,Brown,Brown,Thatch ,Beige,Windowed
149,Broccolo,Mouse,Lazy,,Rural,Blue,Brown,Blue,Shingles,Blue,Basic
150,Caroline,Squirrel,Normal,,Rural,Tan,Brown,Yellow,Thatch ,Red,Wooden
151,Chrissy,Rabbit,Peppy,,Rural,Teal,White,Pink,Tile,Pink,Iron grill
152,Claude,Rabbit,Lazy,,Rural,Tan,Brown,Black,Shingles,Beige,Wooden
153,Clyde,Horse,Lazy,,Rural,White,Brown,Brown,Shingles,Yellow,Common
154,Deena,Duck,Normal,,Rural,Grey,Grey,Black,Shingles,Yellow,Common
155,Derwin,Duck,Lazy,,Rural,Blue,Brown,Brown,Thatch ,Blue,Common
156,Dizzy,Elephant,Lazy,,Rural,Blue,Brown,Blue,Shingles,White,Wooden
157,Drift,Frog,Jock,,Rural,Red,Brown,Black,Tile,Yellow,Basic
158,Fang,Wolf,Cranky,,Rural,White,Brown,White,Tile,White,Iron grill
159,Francine,Rabbit,Snooty,,Rural,Teal,White,Blue,Tile,Blue,Iron grill
160,Goldie,Dog,Normal,,Rural,White,Brown,Yellow,Tile,Brown,Wooden
161,Hamlet,Hamster,Jock,,Rural,White,Brown,Brown,Shingles,Brown,Windowed
162,Hopkins,Rabbit,Lazy,,Rural,Blue,Brown,Blue,Tile,Blue,Common
163,Jacob,Bird,Lazy,,Rural,White,Brown,Green,Shingles,Red,Windowed
164,Jambette,Frog,Normal,,Rural,White,Brown,Green,Shingles,Pink,Iron grill
165,Jay,Bird,Jock,,Rural,White,Brown,Brown,Thatch ,Blue,Basic
166,Jeremiah,Frog,Lazy,,Rural,Blue,Brown,Blue,Shingles,Blue,Vertical-panes
167,Kiki,Cat,Normal,,Rural,Tan,Brown,Red,Tile,Green,Windowed
168,Lily,Frog,Normal,,Rural,White,Brown,Blue,Shingles,Blue,Common
169,Lolly,Cat,Normal,,Rural,Sand,Brown,Blue,Shingles,White,Windowed
170,Nana,Monkey,Normal,,Rural,White,Brown,Pink,Tile,Teal,Basic
171,Pancetti,Pig,Snooty,,Rural,Tan,Brown,Yellow,Thatch ,Blue,Simple
172,Paolo,Elephant,Lazy,,Rural,White,Brown,Purple,Tile,Yellow,Basic
173,Pate,Duck,Peppy,,Rural,Teal,White,Brown,Tile,Yellow,Common
174,Peggy,Pig,Peppy,,Rural,Sand,Brown,White,Tile,Pink,Simple
175,Phoebe,Ostrich,Uchi,,Rural,Red,Brown,Yellow,Thatch ,Blue,Common
176,Pietro,Sheep,Smug,,Rural,Teal,White,Red,Tile,Green,Basic
177,Pudge,Cub,Lazy,,Rural,Green,Brown,Brown,Shingles,Red,Wooden
178,Quillson,Duck,Smug,,Rural,Green,Brown,Yellow,Tile,Yellow,Simple
179,Rhonda,Rhino,Normal,,Rural,White,Brown,Purple,Tile,Beige,Basic
180,Rodney,Hamster,Smug,,Rural,Sand,Brown,Blue,Shingles,Purple,Basic
181,Rudy,Cat,Jock,,Rural,Tan,Brown,Red,Shingles,Green,Windowed
182,Sandy,Ostrich,Normal,,Rural,Tan,Brown,Blue,Tile,Purple,Basic
183,Scoot,Duck,Jock,,Rural,White,Brown,Blue,Shingles,Teal,Basic
184,Skye,Wolf,Normal,,Rural,White,Brown,White,Tile,Teal,Basic
185,Stu,Bull,Lazy,,Rural,Blue,Brown,Blue,Shingles,Blue,Wooden
186,Tia,Elephant,Normal,,Rural,Teal,White,White,Tile,Blue,Vertical-panes
187,Ursala,Bear,Uchi,,Rural,White,Brown,Red,Tile,Teal,Rustic
188,Victoria,Horse,Peppy,,Rural,Tan,Brown,Yellow,Thatch ,Brown,Basic
189,Whitney,Wolf,Snooty,,Rural,Teal,White,White,Tile,White,Common
190,Yuka,Koala,Snooty,,Rural,Blue,Brown,Grey,Thatch ,Blue,Wooden
191,Bea,Dog,Normal,,Rustic,White,Brown,Brown,Thatch ,Brown,Common
192,Beardo,Bear,Smug,,Rustic,White,Brown,Grey,Thatch ,Blue,Basic
193,Benedict,Chicken,Lazy,,Rustic,White,White,Red,Tile,Yellow,Vertical-panes
194,Bubbles,Hippo,Peppy,,Rustic,White,Brown,Brown,Shingles,Red,Windowed
195,Bunnie,Rabbit,Peppy,,Rustic,White,Brown,Red,Tile,Yellow,Simple
196,Celia,Eagle,Normal,,Rustic,Sky,White,Blue,Shingles,Yellow,Common
197,Chadder,Mouse,Smug,,Rustic,Tan,Brown,Yellow,Tile,Brown,Iron grill
198,Coach,Bull,Jock,,Rustic,Grey,Grey,Yellow,Tile,Red,Windowed
199,Curly,Pig,Jock,,Rustic,White,Grey,White,Tile,Pink,Basic
200,Diana,Deer,Snooty,,Rustic,White,White,Grey,Thatch ,White,Iron grill
201,Ellie,Elephant,Normal,,Rustic,White,Brown,Brown,Shingles,White,Vertical-panes
202,Felicity,Cat,Peppy,,Rustic,White,White,Pink,Tile,Beige,Rustic
203,Flo,Penguin,Uchi,,Rustic,White,Grey,Purple,Shingles,Beige,Basic
204,Freya,Wolf,Snooty,,Rustic,Sky,White,Pink,Tile,White,Metal-accent
205,Gala,Pig,Normal,,Rustic,Sky,White,Grey,Thatch ,Pink,Simple
206,Gigi,Frog,Snooty,,Rustic,White,Grey,Purple,Tile,Grey,Iron grill
207,Judy,Cub,Snooty,,Rustic,Sky,White,Blue,Tile,Pink,Simple
208,Julia,Ostrich,Snooty,,Rustic,Sky,White,Blue,Shingles,Blue,Wooden
209,Klaus,Bear,Smug,,Rustic,Sky,White,Beige,Thatch ,White,Fancy
210,Lionel,Lion,Smug,,Rustic,White,Brown,Grey,Thatch ,White,Common
211,Maggie,Pig,Normal,,Rustic,White,Brown,Yellow,Tile,Brown,Vertical-panes
212,Marina,Octopus,Normal,,Rustic,White,Grey,Brown,Thatch ,Pink,Simple
213,Merengue,Rhino,Normal,,Rustic,White,Grey,Red,Shingles,Beige,Basic
214,Midge,Bird,Normal,,Rustic,White,White,Red,Tile,Pink,Metal-accent
215,Mira,Rabbit,Uchi,,Rustic,White,Brown,Yellow,Tile,Red,Vertical-panes
216,Monique,Cat,Snooty,,Rustic,White,White,Purple,Shingles,White,Fancy
217,Muffy,Sheep,Uchi,,Rustic,Black,Grey,Purple,Shingles,Pink,Metal-accent
218,Nibbles,Squirrel,Peppy,,Rustic,Sky,White,Yellow,Tile,Green,Vertical-panes
219,Ozzie,Koala,Lazy,,Rustic,White,Grey,Brown,Thatch ,Brown,Windowed
220,Pashmina,Goat,Uchi,,Rustic,White,Brown,Brown,Tile,Blue,Common
221,Patty,Cow,Peppy,,Rustic,Tan,Brown,Brown,Shingles,Beige,Windowed
222,Pecan,Squirrel,Snooty,,Rustic,White,White,Brown,Thatch ,Red,Vertical-panes
223,Penelope,Mouse,Peppy,,Rustic,Sky,White,Blue,Shingles,Pink,Metal-accent
224,Pompom,Duck,Peppy,,Rustic,White,White,Yellow,Tile,Red,Windowed
225,Reneigh,Horse,Uchi,,Rustic,White,Grey,White,Tile,Black,Vertical-panes
226,Ruby,Rabbit,Peppy,,Rustic,White,White,Grey,Thatch ,Pink,Simple
227,T-Bone,Bull,Cranky,,Rustic,White,Grey,Blue,Shingles,Grey,Iron grill
228,Twiggy,Bird,Peppy,,Rustic,White,White,Yellow,Tile,Blue,Iron grill
229,Walker,Dog,Lazy,,Rustic,White,Grey,Black,Thatch ,White,Basic
230,Willow,Sheep,Snooty,,Rustic,White,White,Yellow,Tile,Brown,Iron grill
231,Agnes,Pig,Uchi,,Stucco,Black,Black,Beige,Curved shingles,Pink,Simple
232,Apollo,Eagle,Cranky,,Stucco,White,White,Black,Shingles,White,Vertical-panes
233,Axel,Elephant,Jock,,Stucco,Blue,White,Orange,Curved shingles,Blue,Common
234,Bob,Cat,Lazy,,Stucco,Yellow,Beige,Blue,Shingles,Red,Wooden
235,Bree,Mouse,Snooty,,Stucco,White,White,Green,Tin,White,Vertical-panes
236,Butch,Dog,Cranky,,Stucco,Orange,White,Black,Shingles,Brown,Vertical-panes
237,Cesar,Gorilla,Cranky,,Stucco,Orange,White,Brown,Shingles,Black,Vertical-panes
238,Cube,Penguin,Lazy,,Stucco,Yellow,Beige,Black,Shingles,Blue,Basic
239,Dotty,Rabbit,Peppy,,Stucco,White,White,Black,Shingles,Blue,Windowed
240,Eloise,Elephant,Snooty,,Stucco,Yellow,Beige,Brown,Shingles,Brown,Vertical-panes
241,Filbert,Squirrel,Lazy,,Stucco,Blue,Beige,Blue,Shingles,Blue,Windowed
242,Freckles,Duck,Peppy,,Stucco,Yellow,Beige,Pink,Tin,Brown,Common
243,Frita,Sheep,Uchi,,Stucco,Orange,White,Green,Tin,Red,Common
244,Goose,Chicken,Jock,,Stucco,White,White,Red,Tin,Brown,Windowed
245,Henry,Frog,Smug,,Stucco,Yellow,Beige,Green,Curved shingles,Brown,Windowed
246,Keaton,Eagle,Smug,,Stucco,Yellow,Beige,Blue,Tin,Blue,Simple
247,Mathilda,Kangaroo,Snooty,,Stucco,Black,Black,Purple,Tin,Purple,Metal-accent
248,Miranda,Duck,Snooty,,Stucco,White,White,Purple,Shingles,Brown,Iron grill
249,Mitzi,Cat,Normal,,Stucco,Yellow,Beige,Blue,Shingles,Blue,Wooden
250,Nan,Goat,Normal,,Stucco,Grey,Brown,Black,Shingles,Purple,Metal-accent
251,Olaf,Anteater,Smug,,Stucco,Orange,White,Black,Shingles,Black,Fancy
252,Opal,Elephant,Snooty,,Stucco,White,White,Black,Shingles,Green,Common
253,Poncho,Cub,Jock,,Stucco,Blue,White,Orange,Curved shingles,Teal,Basic
254,Poppy,Squirrel,Normal,,Stucco,White,White,Brown,Curved shingles,Red,Vertical-panes
255,Portia,Dog,Snooty,,Stucco,White,White,Black,Shingles,Grey,Iron grill
256,Purrl,Cat,Snooty,,Stucco,White,White,Brown,Curved shingles,Brown,Iron grill
257,Raddle,Frog,Lazy,,Stucco,Black,Black,Grey,Tin,Yellow,Vertical-panes
258,Roald,Penguin,Jock,,Stucco,Blue,White,Grey,Curved shingles,Blue,Basic
259,Samson,Mouse,Jock,,Stucco,White,White,Blue,Shingles,Blue,Latticework
260,Soleil,Hamster,Snooty,,Stucco,Orange,White,Brown,Curved shingles,White,Common
261,Stitches,Cub,Lazy,,Stucco,Yellow,Beige,Green,Tin,Red,Basic
262,Tangy,Cat,Peppy,,Stucco,Orange,White,Green,Tin,White,Wooden
263,Tiffany,Rabbit,Snooty,,Stucco,Black,Black,Black,Tin,White,Iron grill
264,Wolfgang,Wolf,Cranky,,Stucco,Blue,White,Grey,Curved shingles,Black,Common
265,Anchovy,Bird,Lazy,,Suburban,Sand,Brown,Black,Shingles,Green,Common
266,Ava,Chicken,Normal,,Suburban,White,Orange,Brown,Curved shingles,White,Windowed
267,Bella,Mouse,Peppy,,Suburban,White,Black,Black,Tin,Grey,Iron grill
268,Bianca,Tiger,Peppy,,Suburban,White,Grey,Pink,Shingles,White,Wooden
269,Bruce,Deer,Cranky,,Suburban,Black,Brown,Blue,Shingles,Black,Common
270,Camofrog,Frog,Cranky,,Suburban,Black,Brown,Brown,Shingles,Green,Wooden
271,Carrie,Kangaroo,Normal,,Suburban,Yellow,Brown,Brown,Shingles,White,Common
272,Charlise,Bear,Uchi,,Suburban,Yellow,Brown,Green,Tin,Brown,Iron grill
273,Cobb,Pig,Jock,,Suburban,Sand,Brown,Green,Tin,Green,Vertical-panes
274,Colton,Horse,Smug,,Suburban,White,Grey,Orange,Curved shingles,White,Iron grill
275,Doc,Rabbit,Lazy,,Suburban,Sand,Brown,Blue,Shingles,Blue,Common
276,Elise,Monkey,Snooty,,Suburban,Yellow,Brown,Pink,Curved shingles,Brown,Vertical-panes
277,Elvis,Lion,Cranky,,Suburban,White,Grey,Grey,Curved shingles,Red,Fancy
278,Eugene,Koala,Smug,,Suburban,White,Black,Brown,Shingles,Black,Vertical-panes
279,Eunice,Sheep,Normal,,Suburban,Black,Brown,Brown,Shingles,Pink,Simple
280,Frobert,Frog,Jock,,Suburban,Green,Brown,Green,Tin,Black,Vertical-panes
281,Gloria,Duck,Snooty,,Suburban,White,Black,Purple,Tin,White,Iron grill
282,Gruff,Goat,Cranky,,Suburban,Green,Brown,Beige,Curved shingles,Green,Vertical-panes
283,Hippeux,Hippo,Smug,,Suburban,Green,Brown,Beige,Curved shingles,Brown,Vertical-panes
284,Hugh,Pig,Lazy,,Suburban,White,Black,Blue,Shingles,Blue,Rustic
285,Kidd,Goat,Smug,,Suburban,White,Black,Purple,Tin,Brown,Vertical-panes
286,Kitty,Cat,Snooty,,Suburban,Sand,Brown,Purple,Shingles,Brown,Iron grill
287,Knox,Chicken,Cranky,,Suburban,White,Black,Yellow,Curved shingles,Yellow,Iron
288,Leonardo,Tiger,Jock,,Suburban,Yellow,Brown,Black,Shingles,Grey,Simple
289,Leopold,Lion,Smug,,Suburban,Sand,Brown,Green,Shingles,Brown,Iron grill
290,Lucy,Pig,Normal,,Suburban,White,Orange,Orange,Curved shingles,Pink,Basic
291,Maelle,Duck,Snooty,,Suburban,Pink,Brown,Red,Shingles,Brown,Vertical-panes
292,Mallary,Duck,Snooty,,Suburban,White,Black,Purple,Tin,Brown,Vertical-panes
293,Merry,Cat,Peppy,,Suburban,White,Grey,Pink,Tin,Teal,Fancy
294,Mott,Lion,Jock,,Suburban,Yellow,Brown,Red,Shingles,Yellow,Vertical-panes
295,Olivia,Cat,Snooty,,Suburban,White,Grey,Purple,Shingles,White,Vertical-panes
296,Paula,Bear,Uchi,,Suburban,Yellow,Brown,Red,Curved shingles,Blue,Iron grill
297,Phil,Ostrich,Smug,,Suburban,Pink,Brown,Purple,Shingles,White,Iron grill
298,Raymond,Cat,Smug,,Suburban,White,Black,Black,Shingles,Green,Iron grill
299,Rod,Mouse,Jock,,Suburban,White,Grey,Purple,Shingles,Yellow,Common
300,Rodeo,Bull,Lazy,,Suburban,Black,Brown,Green,Tin,Brown,Iron grill
301,Savannah,Horse,Normal,,Suburban,White,Black,Yellow,Curved shingles,Grey,Iron grill
